Hackerspace,Hackerspace#,Country,State,City,Website,Date-of-founding,Hackerspace-status,data-sort-value,
Connected Community,Connected Community,Australia,Victoria,Melbourne,http://www.hackmelbourne.org/,1 March 2009,active,2454891.5,
Anax,Anax,Greece,Attica,Athens,,3 March 2009,planned,2454893.5,
HTINK,HTINK,United States of America,New York,New York City,http://www.htink.net,11 March 2009,planned,2454901.5,
HackPittsburgh,HackPittsburgh,United States of America,Pennsylvania,Pittsburgh,http://www.hackpittsburgh.org,14 March 2009,active,2454904.5,
Hacker Space Kuala Lumpur,Hacker Space Kuala Lumpur,Malaysia,Wilayah Persekutuan,Kuala Lumpur,http://hackerspace.my,17 March 2009,active,2454907.5,
United Greenworks,United Greenworks,Canada,Alberta,Grande Prairie,http://www.unitedgreenworks.com,17 March 2009,closed,2454907.5,
TechShop RDU,TechShop RDU,United States of America,North Carolina,Raleigh,http://techshoprdu.com/,23 March 2009,closed,2454913.5,
Labor23,Labor23,Germany,Bavaria,Wuerzburg,http://www.labor23.org/,23 March 2009,active,2454913.5,
Hack.rva,Hack.rva,United States of America,Virginia,Richmond,http://hackrva.org,26 March 2009,active,2454916.5,
MakerSpace,MakerSpace,New Zealand,,Wellington,http://makerspace.org.nz,27 March 2009,closed,2454917.5,
Artifactory,Artifactory,Australia,Western Australia,Perth,http://www.artifactory.org.au,30 March 2009,active,2454920.5,
Diyode Guelph,Diyode Guelph,Canada,Ontario,Guelph,http://www.diyode.com,30 March 2009,active,2454920.5,
Hackerspace Brisbane,Hackerspace Brisbane,Australia,Queensland,Brisbane,http://hsbne.org,30 March 2009,active,2454920.5,
